,price,BEDS,ACRES,BATHS,1/2 BATHS,SQFT,$/SQFT,Neighborhood:,Type:,Built:,County:,Area:,Elementary School,Middle School,High School,School District,Architectural Style,Attached Garage YN,Carport Spaces,Carport YN,Construction Status,Covered Spaces,Exterior Features,Frontage Length,Garage YN,Horse Property YN,Lot Features,Lot Size Dimensions,Mobile Length,Mobile Width,Open Parking Spaces,Open Parking YN,Other Equipment,Parking Features,Parking Total,Patio And Porch Features,Pool Private YN,Roof,Spa YN,Topography,Vegetation,View,View YN,Waterfront YN,Above Grade Finished Area,Appliances,Basement,Basement Finished Percentage,Bathrooms One Quarter,Bathrooms Partial,Building Area Total,Cooling,Cooling YN,Fireplace YN,Fireplaces Total,Flooring,Heating,Heating YN,Interior Features,Laundry Features,Main Level Bedrooms,Master Bedroom Level,Rooms Total,Association Fee,Association YN,Capitalization Rate,Current Use,Exclusions,Inclusions,Irrigation Water Rights Acres,Lease Amount,Lease Considered YN,Listing Terms,New Construction YN,Number Of Pads,Number Of Units Leased,Power Production Solar Year Install,Property Attached YN,Property Condition,Property Sub Type,Senior Community YN,Sewer,Tax Annual Amount,Utilities,Water Source,Zoning,Construction Materials,Window Features,Cross Street,Other Parking,Association Amenities,Association Fee Frequency,Association Fee Includes,Zoning Description,Pool Features,Community Features,Fireplace Features,Door Features,Accessibility Features,RVParking Dimensions,Green Energy Generation,Power Production Type,Solar Ownership,Green Building Verification Type,Solar Finance Company
0,450000,3,0.03,2,1,2296,196,Bringhurst Station,Villa/Townhouse,2021,Utah,Pl Grove; Lindon; Orem,Bluffdale,Fort Herriman Mid,Riverton,Jordan,Townhouse; Row-Mid,Yes,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Part,,No,No,1611,Microwave,Full,0,0,1,2296,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,108,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,300,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,464900,4,0.2,2,1,3535,132,Legacy Farms,Single-Family Home,2021,Utah,Sp Fork; Mapleton; Benjamin,Sierra Bonita,Diamond Fork,Maple Mountain,Nebo,Stories: 2,Yes,0,No,To Be Built,3,,0.0,Yes,No,,0.0X0.0X0.0,0,0,0,No,,,3,,No,Asphalt,No,,Landscaping: Part,,No,No,2254,,Full,0,0,1,3535,Central Air,Yes,No,0,"Carpet
Laminate",>= 95% Efficiency,True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In",Electric Dryer Hookup,1,Floor: 1st,12,0,No,0,Single Family,,,0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Single Family Residence,No,Sewer: Connected,0,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,,,,,,,,,,,,,,,,,
0,329338,3,N/A,2,0,1272,259,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,389088,3,N/A,2,0,1272,306,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,461900,3,0.03,2,1,2332,198,Lake Front,Villa/Townhouse,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Townhouse; Row-End,Yes,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Part,,No,No,1629,Microwave,Full,0,0,1,2332,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,108,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,300,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,439900,3,0.2,2,0,3380,130,Legacy Farms,Single-Family Home,2021,Utah,Sp Fork; Mapleton; Benjamin,Sierra Bonita,Diamond Fork,Maple Mountain,Nebo,Rambler/Ranch,Yes,0,No,To Be Built,3,,0.0,Yes,No,,0.0X0.0X0.0,0,0,0,No,,,3,,No,Asphalt,No,,Landscaping: Part,,No,No,1709,Microwave,Full,0,0,0,3380,Central Air,Yes,No,0,"Carpet
Laminate","Gas: Central
>= 95% Efficiency",True,"Closet: Walk-In
Dishwasher Built-In",Electric Dryer Hookup,3,Floor: 1st,10,0,No,0,Single Family,,Microwave,0,0,No,,Yes,0,0,0,No,,Single Family Residence,No,,0,,,,,,,,,,,,,,,,,,,,,,
0,442260,3,0.03,2,1,2296,193,Bringhurst Station,Villa/Townhouse,2021,Utah,Pl Grove; Lindon; Orem,Bluffdale,Fort Herriman Mid,Riverton,Jordan,Townhouse; Row-Mid,Yes,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Part,,No,No,1611,Microwave,Full,0,0,1,2296,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,108,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,300,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,155000,2,0.01,1,0,603,257,Country Meadow,Condo,1971,Utah,Provo; Mamth; Springville,Sunset View,Centennial,Timpview,Provo,Condo; Main Level,No,0,No,Blt./Standing,0,"See Remarks
Triple Pane Windows",0.0,Yes,No,,0.0X0.0X0.0,0,0,2,Yes,Window Coverings,Parking: Uncovered,2,,No,"See Remarks
Asphalt",No,"Terrain
Flat",Landscaping: Full,,No,No,603,Refrigerator,Slab,0,0,0,603,Seer 16 Or Higher,Yes,No,0,"See Remarks
Laminate","See Remarks
Heat Pump
Wall Furnace",True,"Closet: Walk-In
Kitchen: Updated
Range/Oven: Free Stdng.",,2,Floor: 1st,6,150,Yes,0,Residential,,"See Remarks
Range
Refrigerator
Window Coverings",0,0,No,Cash,No,0,0,0,No,Blt./Standing,Condominium,No,Sewer: Connected,526,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,Multi-Family,Brick,"Blinds
Drapes",600,,"Barbecue
Trash
Water",Monthly,"Trash
Water",Rc,,,,,Ground Level,,,,,,
0,452500,3,0.03,2,1,2332,194,Lake Front,Villa/Townhouse,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Townhouse; Row-End,Yes,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Part,,No,No,1629,Microwave,Full,0,0,1,2332,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,108,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,300,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,443900,3,0.03,2,1,2332,190,Lake Front,Villa/Townhouse,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Townhouse; Row-End,Yes,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Part,,No,No,1629,Microwave,Full,0,0,1,2332,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,108,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,300,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,484900,4,0.2,2,1,4236,114,Legacy Farms,Single-Family Home,2021,Utah,Sp Fork; Mapleton; Benjamin,Sierra Bonita,Diamond Fork,Maple Mountain,Nebo,Stories: 2,Yes,0,No,To Be Built,3,,0.0,Yes,No,,0.0X0.0X0.0,0,0,0,No,,,3,,No,Asphalt,No,,Landscaping: Part,,No,No,2621,Microwave,Full,0,0,1,4236,Central Air,Yes,No,0,"Carpet
Laminate",>= 95% Efficiency,True,"Closet: Walk-In
Den/Office
Dishwasher Built-In",Electric Dryer Hookup,1,Floor: 1st,13,0,No,0,Single Family,,Microwave,0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Single Family Residence,No,Sewer: Connected,0,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,,,,,,,,,,,,,,,,,
0,342406,3,N/A,2,0,1272,269,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,,Monthly,,Res,,,,,,,,,,,
0,378283,3,N/A,2,0,1272,297,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,,Monthly,,Res,,,,,,,,,,,
0,369900,3,N/A,2,0,1272,291,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Main Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,388143,3,N/A,2,0,1272,305,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,334338,3,N/A,2,0,1272,263,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Dishwasher Built-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,,Monthly,,Res,,,,,,,,,,,
0,371046,3,N/A,2,0,1272,292,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Main Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,"Clubhouse
Playground
Pool",Monthly,,Res,,,,,,,,,,,
0,375238,3,N/A,2,0,1272,295,Lake Front,Condo,2021,Utah,Pl Grove; Lindon; Orem,Vineyard,Orem,Mountain View,Alpine,Condo; Middle Level,Yes,0,No,To Be Built,1,"Double Pane Windows
Sliding Glass Doors",0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,1,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1272,Microwave,None,0,0,0,1272,Central Air,Yes,No,0,"Carpet
Vinyl","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,3,Floor: 1st,8,203,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional",Yes,0,0,0,No,,Condominium,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,400,,,Monthly,,Res,,,,,,,,,,,
0,452900,3,0.03,2,1,2332,194,The Exchange Ii,Villa/Townhouse,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Riverview,Willowcreek,Lehi,Alpine,Townhouse; Row-End,No,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1629,Microwave,Full,0,0,1,2332,Central Air,Yes,Yes,1,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,102,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,4000,,"Clubhouse
Playground
Pool",Monthly,,Res,,Clubhouse,,,,,,,,,
0,445900,3,0.03,2,1,2424,184,The Exchange Ii,Villa/Townhouse,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Riverview,Willowcreek,Lehi,Alpine,Townhouse; Row-End,No,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Road: Paved
Sidewalks",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Road: Paved
Sidewalks",Landscaping: Full,,No,No,1686,Microwave,Full,0,0,1,2424,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,102,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,4000,,"Clubhouse
Playground
Pool",Monthly,,Res,,Clubhouse,,,,,,,,,
0,452125,3,0.03,2,1,2296,197,The Exchange Ii,Villa/Townhouse,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Riverview,Willowcreek,Lehi,Alpine,Townhouse; Row-Mid,No,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Full,,No,No,1611,Microwave,Full,0,0,1,2296,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,115,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,4000,,"Clubhouse
Playground
Pool",Monthly,,Res,,Clubhouse,,,,,,,,,
0,442000,3,0.03,2,1,2296,193,The Exchange Ii,Villa/Townhouse,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Riverview,Willowcreek,Lehi,Alpine,Townhouse; Row-Mid,No,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Full,,No,No,1611,Microwave,Full,0,0,1,2296,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,102,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,4000,,"Clubhouse
Playground
Pool",Monthly,,Res,,Clubhouse,,,,,,,,,
0,432150,3,0.03,2,1,2296,188,The Exchange Ii,Villa/Townhouse,2021,Utah,Am Fork; Hlnd; Lehi; Saratog.,Riverview,Willowcreek,Lehi,Alpine,Townhouse; Row-Mid,No,0,No,To Be Built,2,Double Pane Windows,0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",0.0X0.0X0.0,0,0,0,No,,,2,,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full",Landscaping: Full,,No,No,1611,Microwave,Full,0,0,1,2296,Central Air,Yes,No,0,"Carpet
Laminate
Tile","Gas: Central
>= 95% Efficiency",True,"Bath: Master
Closet: Walk-In
Disposal
Great Room
Range/Oven: Free Stdng.",Electric Dryer Hookup,0,Floor: 2nd,10,102,Yes,0,Residential,,"Microwave
Range",0,0,No,"Cash
Conventional
Fha
Va Loan",Yes,0,0,0,No,,Townhouse,No,Sewer: Connected,1,"Natural Gas Connected
Electricity Connected
Sewer Connected
Water Connected",Culinary,,,,4000,,"Clubhouse
Playground
Pool",Monthly,,Res,,Clubhouse,,,,,,,,,
0,399900,3,0.06,2,1,2339,171,Creekside Cottages,Villa/Townhouse,2013,Utah,Pl Grove; Lindon; Orem,Lindon,Oak Canyon,Pleasant Grove,Alpine,Rambler/Ranch,Yes,0,No,Blt./Standing,2,"Double Pane Windows
Entry (Foyer)
Sliding Glass Doors
Patio: Open",0.0,Yes,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full
View: Mountain
Drip Irrigation: Auto-Full",0.0X0.0X0.0,0,0,4,No,Window Coverings,,6,Patio: Open,No,Asphalt,No,"Curb & Gutter
Fenced: Part
Road: Paved
Sidewalks
Sprinkler: Auto-Full
Terrain
Flat
View: Mountain
Drip Irrigation: Auto-Full",Landscaping: Full,Mountain(S),Yes,No,2339,"Portable Dishwasher
Microwave
Refrigerator",None,0,0,1,2339,Central Air,Yes,No,0,"Carpet
Tile
Vinyl","Forced Air
Gas: Central",True,"Alarm: Fire
Bath: Master
Bath: Sep. Tub/Shower
Closet: Walk-In
Den/Office
Disposal
Great Room
Jetted Tub
Range/Oven: Free Stdng.",Electric Dryer Hookup,2,Floor: 1st,13,170,Yes,0,Residential,,"Dishwasher: Portable
Microwave
Range
Refrigerator
Window Coverings",0,0,No,"Cash
Conventional
Fha
Va Loan",No,0,0,0,No,Blt./Standing,Twin,Yes,"Sewer: Connected
Sewer: Public",1767,"Natural Gas Connected
Electricity Connected
Sewer Connected
Sewer: Public
Water Connected",Culinary,Single-Family,"Stone
Stucco","Drapes
Full",480,,"Insurance
Maintenance
Pet Rules
Pets Permitted
Picnic Area
Playground
Snow Removal",Monthly,"Insurance
Maintenance Grounds",Res,,,,,"Accessible Doors
Accessible Hallway(S)
Fully Accessible
Ground Level
Single Level Living
Customized Wheelchair Accessible",,,,,,
